Individual,NetWorth,Source,Industry,Country,Competetive,Competition,NetWorth,,,
Schaeffler,6.30,Schaeffler Group,Automotive,US,Y,Competitive,6.30,,,
Khan,7.80,auto,Automotive,US,Y,Competitive,7.80,,,
Klatten,16.80,BMW,Automotive,Germany,Y,Competitive,16.80,,,
Musk,24.60,Tesla,Automotive,US,Y,Competitive,24.60,,,
Hendricks,6.90,roofing,Engineering,US,Y,Competitive,6.90,,,
Mistry,11.10,construction,Engineering,Ireland,Y,Competitive,11.10,,,
Thiele,12.90,brakes,Engineering,Germany,Y,Competitive,12.90,,,
Gilbert,6.50,Quicken Loans,Finance,US,Y,Competitive,6.50,,,
Englander,6.60,hedge funds,Finance,US,Y,Competitive,6.60,,,
Black,6.60,private equity,Finance,US,Y,Competitive,6.60,,,
Schwab,6.70,Discount Brokerage,Finance,US,Y,Competitive,6.70,,,
Grayken,7.40,private equity,Finance,Ireland,Y,Competitive,7.40,,,
Beal,7.90,Beal Banks,Finance,US,Y,Competitive,7.90,,,
Soros,8.30,hedge funds,Finance,US,Y,Competitive,8.30,,,
Johnson,10.80,money management,Finance,US,Y,Competitive,10.80,,,
Tepper,12.00,hedge funds,Finance,US,Y,Competitive,12.00,,,
Griffin,12.10,hedge funds,Finance,US,Y,Competitive,12.10,,,
Cohen,13.90,hedge funds,Finance,US,Y,Competitive,13.90,,,
Peterffy,14.30,Discount brokerage,Finance,US,Y,Competitive,14.30,,,
Dalio,18.00,hedge funds,Finance,US,Y,Competitive,18.00,,,
Simons,21.60,hedge funds,Finance,US,Y,Competitive,21.60,,,
Buffet,67.50,Berkshire Hathaway,Finance,US,Y,Competitive,67.50,,,
Resnick,9.00,Food,Food,US,Y,Competitive,9.00,,,
Rausing,10.30,packaging,Food,Sweden,Y,Competitive,10.30,,,
Besnier,12.70,cheese,Food,France,Y,Competitive,12.70,,,
Heineken,12.80,Heineken,Food,Netherlands,Y,Competitive,12.80,,,
Mateschitz,16.50,Red Bull,Food,Austria,Y,Competitive,16.50,,,
Rausing,18.20,Food,Food,Sweden,Y,Competitive,18.20,,,
Ferrero,24.50,Nutella,Food,Italy,Y,Competitive,24.50,,,
Reyes,27.20,food distribution,Food,US,Y,Competitive,27.20,,,
Mars,49.40,"candy, pet food",Food,US,Y,Competitive,49.40,,,
Graf,6.50,casinos,Gambling,Austria,Y,Competitive,6.50,,,
Adelson,26.80,casinos,Gambling,US,Y,Competitive,26.80,,,
Soon-shiong,6.40,Abraxis,Healthcare,US,Y,Competitive,6.40,,,
Aleotti,6.60,pharma,Healthcare,Italy,Y,Competitive,6.60,,,
Louis Hansen,7.40,medical devices,Healthcare,Denmark,Y,Competitive,7.40,,,
"Frist, Jr.",7.50,hospitals,Healthcare,US,Y,Competitive,7.50,,,
Bertarelli,8.00,biotech,Healthcare,Switzerland,Y,Competitive,8.00,,,
Cook,8.00,medical devices,Healthcare,US,Y,Competitive,8.00,,,
Struengmann,19.20,pharma,Healthcare,Germany,Y,Competitive,19.20,,,
Aponte,6.50,shipping,Logistics,Switzerland,Y,Competitive,6.50,,,
Saade,7.00,shipping,Logistics,France,Y,Competitive,7.00,,,
Fredriksen,9.60,shipping,Logistics,US,Y,Competitive,9.60,,,
Kuehne,14.20,shipping,Logistics,Germany,Y,Competitive,14.20,,,
Loh,8.20,Manufacturing,Manufacturing,Germany,Y,Competitive,8.20,,,
Ratcliffe,11.00,chemicals,Manufacturing,UK,Y,Competitive,11.00,,,
Wuerth,11.60,fasteners,Manufacturing,Germany,Y,Competitive,11.60,,,
Kennedy,7.60,media,Media,US,Y,Competitive,7.60,,,
Okeden,7.60,media,Media,US,Y,Competitive,7.60,,,
Geffen,7.60,movies,Media,US,Y,Competitive,7.60,,,
Newhouse,10.80,media,Media,US,Y,Competitive,10.80,,,
Murdoch,14.90,News Corp.,Media,US,Y,Competitive,14.90,,,
Bloomberg,48.00,Bloomberg,Media,US,N,Non-Competitive,48.00,,,
Hongbin,9.20,Real Estate,Real Estate,US,Y,Competitive,9.20,,,
Bren,15.50,Real estate,Real Estate,US,Y,Competitive,15.50,,,
Green,6.30,Hobbycrafts,Retail,US,Y,Competitive,6.30,,,
Love,6.50,Love Gas Stations,Retail,US,Y,Competitive,6.50,,,
Povlsen,8.00,fashion retail,Retail,Denmark,Y,Competitive,8.00,,,
Pessina,10.20,drugstores,Retail,Italy,Y,Competitive,10.20,,,
Meijer,10.20,supermarkets,Retail,US,Y,Competitive,10.20,,,
"Menard, Jr.",11.50,home improvement stores,Retail,US,Y,Competitive,11.50,,,
Persson,13.50,H&M,Retail,Sweden,Y,Competitive,13.50,,,
Lauder,14.60,Estee Lauder,Retail,US,Y,Competitive,14.60,,,
Del Vecchio,16.10,eyeglasses,Retail,Italy,Y,Competitive,16.10,,,
Albrecht,17.00,Aldi,Retail,Germany,Y,Competitive,17.00,,,
Schwarz,19.80,Retail,Retail,Germany,Y,Competitive,19.80,,,
Pinault,27.00,luxury goods,Retail,France,Y,Competitive,27.00,,,
Knight,29.50,Nike,Retail,US,Y,Competitive,29.50,,,
Albrecht,33.30,supermarkets,Retail,Germany,Y,Competitive,33.30,,,
Wertheimer,34.20,Chanel,Retail,France,Y,Competitive,34.20,,,
Meyers,48.90,L'Oreal,Retail,France,Y,Competitive,48.90,,,
Ortega,55.10,Zara,Retail,Spain,Y,Competitive,55.10,,,
Arnault,76.00,LVMH,Retail,France,Y,Competitive,76.00,,,
"Walton(s), Kroenke & Laurie",205.40,Walmart,Retail,US,Y,Competitive,205.40,,,
Droege,13.00,consulting,Service,Germany,Y,Competitive,13.00,,,
Kraft,6.90,New England Patriots,Sports,US,Y,Competitive,6.90,,,
Jones,8.00,Dallas Cowboys,Sports,US,Y,Competitive,8.00,,,
Kroenke,10.00,"sports,real estate",Sports,US,Y,Competitive,10.00,,,
Pera,7.00,wireless networking gear,Technology,US,Y,Competitive,7.00,,,
Duffield,7.50,business software,Technology,US,Y,Competitive,7.50,,,
Koum,9.70,Whatsapp,Technology,US,N,Non-Competitive,9.70,,,
Moore,9.80,Intel,Technology,US,N,Non-Competitive,9.80,,,
Omidyar,11.00,"Ebay, Paypal",Technology,US,N,Non-Competitive,11.00,,,
Tschira,11.30,software,Technology,Germany,Y,Competitive,11.30,,,
Plattner,12.40,software,Technology,Germany,Y,Competitive,12.40,,,
Hopp,13.00,software,Technology,Germany,Y,Competitive,13.00,,,
Reuben,13.60,Real estate & technology,Technology,UK,Y,Competitive,13.60,,,
Powell Jobs,16.40,Apple,Technology,US,N,Non-Competitive,16.40,,,
Dell,22.90,Dell,Technology,US,Y,Competitive,22.90,,,
Ellison,59.00,software,Technology,US,Y,Competitive,59.00,,,
Zuckerberg + Moscovitz,64.00,Facebook,Technology,US,N,Non-Competitive,64.00,,,
"Page, Brin + Schmidt",113.20,Google,Technology,US,N,Non-Competitive,113.20,,,
Bezos + Scott,149.00,Amazon,Technology,US,N,Non-Competitive,149.00,,,
Gates + Ballmer,150.70,Microsoft,Technology,US,N,Non-Competitive,150.70,,,
Drahi,7.10,telecom,Telecom,France,Y,Competitive,7.10,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,